song.id,title,artist.name,year
SOMZWCG12A8C13C480,I Didn't Mean To,Casual,0
SOCIWDW12A8C13D406,Soul Deep,The Box Tops,1969
SOXVLOJ12AB0189215,Amor De Cabaret,Sonora Santanera,0
SONHOTT12A8C13493C,Something Girls,Adam Ant,1982
SOFSOCN12A8C143F5D,Face the Ashes,Gob,2007
SOYMRWW12A6D4FAB14,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,0
SOMJBYD12A6D4F8557,Keepin It Real (Skit),Rated R,0
SOHKNRJ12A6701D1F8,Drop of Rain,Tweeterfriendly Music,0
SOIAZJW12AB01853F1,Pink World,Planet P Project,1984
SOUDSGM12AC9618304,Insatiable (Instrumental Version),Clp,0
SOQHXMF12AB0182363,Young Boy Blues,JennyAnyKind,0
SOKEJEJ12A8C13E0D0,The Urgency (LP Version),Wayne Watson,0
SOMUYGI12AB0188633,La Culpa,Andy Andy,0
SORAMLE12AB017C8B0,Auguri Cha Cha,Bob Azzam,0
SOBONFF12A6D4F84D8,Tonight Will Be Alright,Lionel Richie,1986
SOHUOAP12A8AE488E9,Floating,Blue Rodeo,1987
SOUQQEA12A8C134B1B,High Tide,Richard Souther,0
SOILPQQ12AB017E82A,Sohna Nee Sohna Data,Faiz Ali Faiz,0
SOXLBJT12A8C140925,Caught In A Dream,Tesla,2004
SOZVMJI12AB01808AF,Synthetic Dream,lextrical,0
SOWTBJW12AC468AC6E,Broken-Down Merry-Go-Round,Jimmy Wakely,0
SOBEBDG12A58A76D60,Kassie Jones,Alice Stuart,0
SOZCTXZ12AB0182364,Setanta matins,Elena,0
SOBBUGU12A8C13E95D,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,2004
SOBLGCN12AB0183212,James (Hold The Ladder Steady),SUE THOMPSON,1985
SOPSWQW12A6D4F8781,Made Like This (Live),Five Bolt Main,0
SOZQDIU12A58A7BCF6,Superconfidential,Clp,0
SONYPOM12A8C13B2D7,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,2005
SOBZBAZ12A6D4F8742,Spanish Grease,Willie Bobo,1997
SOVYKGO12AB0187199,Crazy Mixed Up World,Faye Adams,1961
SOGNCJP12A58A80271,Do You Finally Need A Friend,Terry Callier,1972
SOLLHMX12AB01846DC,The Emperor Falls,John Wesley,0
SOYTPEP12AB0180E7B,Twist and Shout,The Shangri-Las,1964
SOGXHEG12AB018653E,It Makes No Difference Now,Billie Jo Spears,1992
SOOLYAZ12A6701F4A6,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),0
SOGOSOV12AF72A285E,A?DA3nde va Chichi?,Sierra Maestra,1997
SOJXVAH12A8C139700,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0
SOVXMTN12A8C135A18,OUTE ENA EFHARISTO,Despina Vandi,0
SORSECL12AB0182267,Midnight Swim,Javier Navarrete,0
SOOGFBZ12AC3DF7FF2,In A Subtle Way,Jacob Young,0
SOMSBGZ12AB018C4CB,Spin,Scarlet's Remains,2007
SONYRZV12AB018AF70,Burning In The Aftermath,The Suicide Machines,2003
SONQBUB12A6D4F8ED0,Angie (1993 Digital Remaster),The Rolling Stones,0
SOHGKJW12AC468A8BD,Sabor Guajiro,Roberto Torres,0
SOINBCU12A6D4F94C0,Human Cannonball,Loudon Wainwright III,1995
SOTWVQT12A58A79650,Glory Be,R.L. Burnside,2004
SOTSEJY12AB0180F56,Crossfire,Stevie Ray Vaughan,1992
SOTSETT12AB01863B8,I Can't Be Satisfied,John Hammond,2002
SOTUNMH12A6D4FA3E6,Nashville Parthenon,Casiotone For The Painfully Alone,2006
SOEPPKB12AB018418B,Cocain Ducks,Ec8or,1995
SOGKIWV12A6D4F86C4,Human Being,The New York Dolls,1974
SOPHYIS12AAF3B35A3,The More I See You,Eliane Elias,2009
SOFHBAR12A6701D0FE,Certain Things We Do,Lost Boyz,1997
SOCPRKM12AB018A2FD,Forming,The Germs,1977
SOFGHAM12AB0186412,MafuA!,Yamandu Costa,0
SODHVES12A6701CE6B,Driving Home For Christmas,Chris Rea,1986
SOXIATP12AAF3B2184,Spooks In Space,Perrey And Kingsley,1966
SOGNQWU12A8AE4868F,Tous Les GarASSons Et Les Filles,Eurythmics,1985
SOYQOFI12A6D4F76E1,Too Much Saturn,Francis Dunnery,1995
SOVOLGY12A6D4F822B,Movement 4 [from Kiss] (Album Version),John Cale,1997
SOMZCVH12AB0182B8E,Stream,Suzanne Ciani,0
SONXJBL12AAF3B2C0C,Make Me Over,Vickie Winans,0
SOYWZTU12AB0180E26,Deform (live),The Berzerker,2000
SOLGHDZ12AB0183B11,Wicker Chair,Kings Of Leon,2003
SOTNTNJ12AAA15FBD6,An ti chans',Edith Lefel,0
SOXZXXV12AAF3B3A67,I Will Love Again (JJ's Club Radio),Taras,0
SOPIKEG12A58291636,Stickin In My Eye,NOFX,1992
SOIRNBO12AC468D207,Ota kiinni,Murskahumppa,0
SOSBDSF12AB0189007,Entre CanAbales,Soda Stereo,1990
SOIJXXM12A8C1416D6,Rosemary Recalls,Bruce Rowland,1985
SOHMMMC12AB0181C42,Sudanese Dance,Xcultures,2000
SOVJXVJ12A8C13517D,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0
SOFZCTA12AB0188D8F,Wanna Be A Player,Heavy D / McGruff,1997
SOLRYQR12A670215BF,Panama (Remastered Album Version),Van Halen,0
SOCHRXB12A8AE48069,Let's Get It Started,Black Eyed Peas,2004
SOKBBXO12A6701DEA0,Metal,Nine Inch Nails,2000
SOWHYUG12A58A77FAB,She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,0
SOYSTDI12A6D4F6500,Next Time,Nadine Renee,0
SOOOROX12A6D4F8400,It's My Party,Lesley Gore,1963
SONSPZE12AB01819CE,Complicate It,Smartbomb,2001
SOHWGFU12AB017B036,Monde De Fou,Suburbs,2005
SOQQVQJ12AB0185192,Opus a Satana (Part 2),Emperor,0
SODRHHD12AB0189F2A,This Melody (Live),Julien Clerc,0
SOQGFVO12A8C13C8C3,I'm Gone This Time,Glen Campbell,0
SORABMD12A8C136672,You Feel Good All Over,T.G. Sheppard,2002
SOTUBVH12AB018D2EC,Indian Love Call,Slim Whitman,1990
SOMQAGT12A8C132DB4,You Can Still Be Free,Savage Garden,1999
SOKLLOH12A67020F2C,I Never Came,Queens Of The Stone Age,2005
SONRLQH12AB017C232,Dixie,Hank Penny & The Lincoln Penny Orchestra,0
SODDZAD12A6701DC4C,Commercial Reign,Inspiral Carpets,1990
SORENXV12A6701F61F,Hourglass,Borialis,0
SOYMMDY12AB01825B2,Wake,The Dirty Skirts,0
SOJWQIP12A6D4F710A,Caricia Y Herida,Flor Silvestre,0
SOOVOKS12AB017EE57,Le tortillard,BA(c)zu,0
SORWHWY12A6702038E,WKYA (drop),Redman,2001
SOGYYLE12A8C13E5EA,TerA$?slintu,Solistiyhtye Suomi,0
SOITUXQ12AB0183AE9,Now's The Time To Fall In Love,Eddie Cantor,0
SOTWEZZ12A8C142B60,Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,0
SOUVRGZ12A58A77F90,Mangos,Kai Winding,1961
SOBLTSM12A6D4F9EEA,A Distant Voice,Sonny Simmons,0
SOUQVUD12A8C142DCE,Openbare Weg,Mira,2006
SOCRPDR12AB0185B75,President Johnson,Citizen Kaned,2000
SOXVBVL12AF72A600C,Lead Me Lord,The Brooklyn Tabernacle Choir,1995
SOIQHDR12AB01896C8,Spontanous Combustion,Ellen McIlwaine,0
SODLSHA12AAF3B29F2,Choro,Vince Guaraldi / Bola Sete,0
SOAGHMH12AB0180285,Ma Louise,Maurice Chevalier,0
SORAVUP12AB018556E,I Want You (Forever),Carl Cox Vs Yousef,1991
SOFXNQP12AB0184F1A,Hate,Organized Konfusion,1997
SOGQTRZ12A8C13C8B0,I Can't Stop Loving You,Martina McBride,2005
SOBHVZQ12AC9618285,Thank You Lord,Horace Andy,1985
SOYPBCY12AB0181EF3,How Can You Call That Beautiful (Stewkey Vocal),Nazz,0
SOWRLSY12AC4687694,Cheatin' In The Next Room,Tyrone Davis,0
SOOGQWR12A8C142505,Candy Man,Hot Tuna,1971
SOJDYQY12AB0188C97,I See The Boys Of Summer,Richard Burton,0
SOBHQUF12AB018B03E,Three Is a Crowd,Rory Block,0
SOFRAZJ12A8C143CDB,On Bended Knee,Boyz II Men,1994
SONNDHT12A8C13F20B,My Four Reasons,Howard Armstrong,0
SOYZOXW12A8C13E195,Little Girl (LP Version),Donny Hathaway,1971
SOSGJTX12AB0181F7C,Eternamente Amame,Miguel Gallardo,0
SOBQBWP12AB018611B,Niev nietch nievitch,Les Ogres De Barback,1999
SODULLV12AB017FA09,Come Over,DJ X-Change featuring DJ Joey A,0
SOYAGJM12A8C13DCCE,Blue Taxi,Morel,0
SORXUZZ12A8AE4798A,I Want Love (Tween You & Me) (Album Version),Tony Joe White,0
SOCHXAE12AF72A25D6,White Feather,Wolfmother,2009
SOCRHCQ12A58A7C8C6,Christlike Roche,The Roches,1995
SOSEJIQ12AB017E7EB,You Rascal You,Bob Margolin,0
SOMXWXQ12AC3DFA002,Sympathy,Thomas Battenstein,0
SOGMXBW12A6D4FB8D7,They Say (Album),Jupiter Rising,2007
SOOPUTF12AB018DFAA,Simon's Folly,Dharma Bums,0
